Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn,Hour of the day,Month
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,SHANKARAPATNAM,2018-04-05 09:19:03.280,9,4
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,2018-11-10 14:56:37.573,14,11
HORTICULTURE,Fruits,Ber,Cultural Practices,RAJASTHAN,KOTA,SANGOD,2018-01-08 11:35:49.303,11,1
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,HOOGHLY,KHANAKUL-II,2018-10-21 10:27:43.383,10,10
AGRICULTURE,Others,Others,Market Information,GUJARAT,SURENDRANAGAR,DASADA,2018-01-30 20:52:39.450,20,1
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,DHANIAKHALI,2018-12-17 09:10:10.270,9,12
AGRICULTURE,Cereals,Wheat,Market Information,UTTAR PRADESH,LALITPUR,JAKHAURA,2018-04-13 13:32:37.293,13,4
AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",Weather,GUJARAT,SURENDRANAGAR,DHRANGADHRA,2018-01-05 16:42:30.537,16,1
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,WEST BENGAL,HOOGHLY,KHANAKUL-II,2018-04-14 15:38:05.330,15,4
AGRICULTURE,Others,Others,	Field Preparation	,UTTAR PRADESH,SIDDHARTH NAGAR,BHANWAPUR,2018-06-22 17:45:34.993,17,6
AGRICULTURE,Others,Others,Weather,GUJARAT,Mehsana,VIJAPUR,2018-08-01 14:51:27.630,14,8
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,KARAULI,2018-09-19 12:24:50.630,12,9
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SULTANPUR,2018-06-28 11:48:20.957,11,6
AGRICULTURE,Others,Others,Weather,RAJASTHAN,SAWAI MADHOPUR,SAWAI MADHOPUR,2018-05-25 21:32:19.567,21,5
HORTICULTURE,Fruits,Acid Lime,	Plant Protection	,TELANGANA,MAHABOOBNAGAR,MAKTHAL,2018-05-13 17:41:42.887,17,5
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-28 17:26:53.113,17,12
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,MAHASAMUND,MAHASAMUND,2018-06-24 15:40:20.227,15,6
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,BIRDHA,2018-04-16 17:58:39.080,17,4
AGRICULTURE,Others,Others,Cultural Practices,UTTARAKHAND,ALMORA,BHAISIYA CHHANA,2018-12-08 13:29:38.430,13,12
HORTICULTURE,Medicinal and Aromatic Plants,Betel Vine,	Plant Protection	,WEST BENGAL,MALDAH,BAMONGOLA,2018-12-14 20:37:51.203,20,12
HORTICULTURE,Vegetables,Tomato,	Plant Protection	,TELANGANA,WARANGAL,ZAFFERGADH,2018-02-13 17:47:20.983,17,2
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,HUZURABAD,2018-07-15 13:39:43.870,13,7
HORTICULTURE,Condiments and Spices,Fennel,Agriculture Mechanization,GUJARAT,Mehsana,MAHESANA,2018-12-17 15:50:26.700,15,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,TONK,NEWAI,2018-02-08 12:40:11.917,12,2
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,GUJARAT,SURENDRANAGAR,LIMBDI,2018-01-08 17:09:08.410,17,1
AGRICULTURE,Cereals,Barley (Jau),Weather,RAJASTHAN,KOTA,SANGOD,2018-01-27 16:38:51.567,16,1
AGRICULTURE,Oilseeds,Soybean (bhat),	Plant Protection	,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-15 13:30:49.773,13,8
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,PURSURAH,2018-12-16 15:10:48.620,15,12
AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,WEST BENGAL,BIRBHUM,LABPUR,2018-07-07 07:25:29.930,7,7
HORTICULTURE,Vegetables,Bitter Gourd,Weather,WEST BENGAL,HOOGHLY,TARAKESWAR,2018-04-12 12:49:52.660,12,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,TODABHIM,2018-09-26 20:27:21.223,20,9
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,BHAGWANPUR,2018-02-10 19:04:15.613,19,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,ITAWA,2018-06-07 09:21:29.020,9,6
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,WEST BENGAL,MURSHIDABAD,NAWDA,2018-07-02 17:43:33.903,17,7
AGRICULTURE,Pulses,Black Gram (urd bean),	Plant Protection	,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-20 14:10:21.157,14,8
HORTICULTURE,Vegetables,Brinjal,Weather,GUJARAT,Mehsana,MAHESANA,2018-08-14 19:47:27.460,19,8
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,TELANGANA,MEDAK,KALHER,2018-07-20 09:34:28.510,9,7
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,RAIGARH,KHARSIA,2018-01-12 10:38:22.230,10,1
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BIRBHUM,MAYURESWAR-I,2018-09-09 17:51:23.627,17,9
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,NAINWA,2018-08-07 12:38:19.210,12,8
ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",TELANGANA,NALGONDA,BIBINAGAR,2018-12-19 20:07:55.373,20,12
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BIRBHUM,MAYURESWAR-I,2018-09-18 19:46:57.170,19,9
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,UDHAM SINGH NAGAR,KHATIMA,2018-02-05 10:43:56.487,10,2
AGRICULTURE,Others,Others,Market Information,RAJASTHAN,JALOR,SANCHORE,2018-04-01 13:31:26.750,13,4
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIGARH,KHARSIA,2018-12-11 07:09:47.890,7,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SIDDHARTH NAGAR,BHANWAPUR,2018-06-29 09:27:31.177,9,6
HORTICULTURE,Vegetables,Brinjal,Cultural Practices,UTTAR PRADESH,BADAUN,DAHGAVAN,2018-02-27 12:36:24.047,12,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,2018-01-18 18:10:28.413,18,1
AGRICULTURE,Others,Others,Cultural Practices,CHHATTISGARH,RAIGARH,PUSSORE,2018-01-24 19:55:30.110,19,1
AGRICULTURE,Others,Others,	Plant Protection	,CHHATTISGARH,MAHASAMUND,SARAIPALI,2018-03-16 14:31:46.860,14,3
AGRICULTURE,Others,Others,Cultural Practices,CHHATTISGARH,JANJGIR-CHAMPA,BALODA,2018-03-26 20:13:35.017,20,3
HORTICULTURE,Fruits,Banana,Cultural Practices,UTTAR PRADESH,BADAUN,JAGAT,2018-02-11 07:41:37.290,7,2
AGRICULTURE,Others,Others,Weather,TELANGANA,MEDAK,KALHER,2018-07-23 15:42:47.680,15,7
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,TODABHIM,2018-07-16 19:36:55.827,19,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,BISAULI,2018-02-11 19:02:39.363,19,2
HORTICULTURE,Condiments and Spices,Garlic,Nutrient Management,RAJASTHAN,KOTA,LADPURA,2018-12-27 13:16:40.130,13,12
HORTICULTURE,Vegetables,Onion,Cultural Practices,TELANGANA,ADILABAD,ADILABAD,2018-06-10 10:15:32.683,10,6
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,MURSHIDABAD,DOMKAL,2018-07-21 08:20:07.033,8,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KUSHI NAGAR,SUKRAULI,2018-01-16 18:46:44.880,18,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,HINDOLI,2018-08-29 13:21:34.593,13,8
HORTICULTURE,Vegetables,Lab Lab,	Plant Protection	,CHHATTISGARH,RAIGARH,KHARSIA,2018-01-31 10:20:32.050,10,1
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MORADABAD,BHAGATPUR TANDA,2018-11-03 07:52:39.087,7,11
AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,GUJARAT,BANAS KANTHA,DHANERA,2018-02-10 14:50:51.417,14,2
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,Cooch BIHAR,TUFANGANJ-I,2018-10-11 10:28:37.683,10,10
HORTICULTURE,Vegetables,Pointed Gourd,	Plant Protection	,WEST BENGAL,MURSHIDABAD,DOMKAL,2018-07-14 13:07:54.453,13,7
AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,2018-02-09 09:47:14.857,9,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,TODABHIM,2018-07-30 15:01:53.347,15,7
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BIRBHUM,MAYURESWAR-I,2018-07-28 09:01:11.407,9,7
AGRICULTURE,Others,Others,Weather,GUJARAT,SURENDRANAGAR,CHOTILA,2018-10-23 11:41:14.150,11,10
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,BRIDGEMANGANJ,2018-05-10 16:30:27.660,16,5
AGRICULTURE,Others,Others,Government Schemes,RAJASTHAN,SAWAI MADHOPUR,GANGAPUR CITY,2018-05-12 11:16:32.443,11,5
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,KARAULI,2018-09-25 10:07:17.530,10,9
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,TELANGANA,MAHABOOBNAGAR,WADDEPALLE,2018-12-26 12:54:53.863,12,12
HORTICULTURE,Vegetables,Bitter Gourd,Cultural Practices,GUJARAT,KHEDA,KHEDA,2018-06-17 09:10:51.033,9,6
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,GUJARAT,SURENDRANAGAR,LAKHTAR,2018-01-12 10:31:22.567,10,1
AGRICULTURE,Others,Others,Weather,TELANGANA,NALGONDA,NARKETPALLY,2018-12-10 17:09:33.880,17,12
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,KUSHI NAGAR,FAZILNAGAR,2018-01-31 16:00:09.520,16,1
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,DEHRADUN,DOIWALA,2018-02-10 18:08:31.687,18,2
AGRICULTURE,Cereals,Wheat,Crop Insurance,RAJASTHAN,KOTA,LADPURA,2018-03-31 12:23:49.553,12,3
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,USAWAN,2018-02-04 15:58:58.267,15,2
AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,TELANGANA,MAHABOOBNAGAR,NARVA,2018-08-13 14:46:08.290,14,8
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,RAJAPUR,2018-08-30 18:27:39.880,18,8
AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,TELANGANA,KHAMMAM,MANUGUR,2018-02-02 10:57:25.520,10,2
AGRICULTURE,Cereals,Paddy (Dhan),Weather,UTTARAKHAND,HARIDWAR,ROORKEE,2018-07-20 16:01:55.173,16,7
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,DILAWARPUR,2018-06-10 08:16:48.067,8,6
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,TELANGANA,WARANGAL,REGONDA,2018-02-23 14:31:22.740,14,2
HORTICULTURE,Fruits,Bail,Nutrient Management,RAJASTHAN,KARAULI,KARAULI,2018-07-06 11:28:21.770,11,7
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,MAHASAMUND,MAHASAMUND,2018-06-06 17:46:08.300,17,6
AGRICULTURE,Oilseeds,Mustard,Nutrient Management,RAJASTHAN,KOTA,KHAIRABAD,2018-12-24 15:24:19.707,15,12
AGRICULTURE,Millets,Maize (Makka),Seeds,UTTAR PRADESH,BADAUN,AMBIAPUR,2018-02-25 16:41:41.560,16,2
AGRICULTURE,Cereals,Wheat,Cultural Practices,GUJARAT,SURENDRANAGAR,CHUDA,2018-01-23 18:42:33.477,18,1
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,BRIDGEMANGANJ,2018-05-03 09:32:21.810,9,5
HORTICULTURE,Fruits,Mango,	Plant Protection	,TELANGANA,KARIMNAGAR,SAIDAPUR,2018-02-26 18:32:58.867,18,2
HORTICULTURE,Vegetables,Capsicum,	Plant Protection	,UTTARAKHAND,NAINITAL,BETALGHAT,2018-06-20 19:07:06.913,19,6
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,KOTABAG,2018-08-10 16:16:52.900,16,8
AGRICULTURE,Others,Others,Weather,GUJARAT,SURENDRANAGAR,DHRANGADHRA,2018-10-24 18:56:01.340,18,10
AGRICULTURE,Others,Others,	Plant Protection	,CHHATTISGARH,DHAMTARI,KURUD,2018-03-24 12:56:46.433,12,3
HORTICULTURE,Fruits,Banana,	Plant Protection	,WEST BENGAL,NADIA,NAKASHIPARA,2018-06-06 17:03:47.807,17,6
HORTICULTURE,Vegetables,Brinjal,Nutrient Management,WEST BENGAL,HOOGHLY,DHANIAKHALI,2018-12-20 11:58:58.700,11,12
AGRICULTURE,Others,Others,Varieties,RAJASTHAN,KARAULI,KARAULI,2018-07-11 10:50:44.850,10,7
AGRICULTURE,Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,2018-11-13 08:03:16.687,8,11
AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),	Plant Protection	,UTTAR PRADESH,DEORIA,DEORIA SADAR,2018-03-16 09:29:30.120,9,3
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,BHOOTHPUR,2018-07-18 15:58:28.150,15,7
HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Government Schemes,RAJASTHAN,JALOR,BHINMAL,2018-04-18 14:42:29.413,14,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SULTANPUR,2018-10-12 14:17:54.927,14,10
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,UDHAM SINGH NAGAR,RUDRAPUR,2018-02-07 14:34:09.340,14,2
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-01 21:33:59.387,21,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,ITAWA,2018-06-20 19:20:40.867,19,6
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,KOTABAG,2018-02-22 11:46:24.480,11,2
AGRICULTURE,Others,Others,Soil Testing,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-31 12:32:27.113,12,12
HORTICULTURE,Vegetables,Potato,	Plant Protection	,UTTARAKHAND,HARIDWAR,LAKSAR,2018-12-18 16:05:13.593,16,12
HORTICULTURE,Fruits,Mango,Agriculture Mechanization,UTTAR PRADESH,LALITPUR,TALBEHAT,2018-04-02 18:38:40.797,18,4
AGRICULTURE,Cereals,Wheat,Weed Management,CHHATTISGARH,RAIGARH,SARANGARH,2018-12-19 09:37:34.063,9,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,NADAUTI,2018-07-23 14:11:33.620,14,7
HORTICULTURE,Vegetables,Brinjal,Fertilizer Use and Availability,GUJARAT,Mehsana,MAHESANA,2018-12-17 20:35:10.807,20,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,MANJHANPUR,2018-12-17 11:21:47.143,11,12
HORTICULTURE,Vegetables,Watermelon,	Plant Protection	,WEST BENGAL,HOOGHLY,DHANIAKHALI,2018-04-19 12:03:36.657,12,4
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,ARAMBAGH,2018-12-16 14:18:14.667,14,12
AGRICULTURE,Others,Others,Weather,TELANGANA,KHAMMAM,THALLADA,2018-11-19 19:15:40.347,19,11
AGRICULTURE,Others,Others,Government Schemes,TELANGANA,NALGONDA,KANAGAL,2018-06-11 18:32:23.743,18,6
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MORADABAD,THAKURDWARA,2018-11-18 15:28:42.097,15,11
HORTICULTURE,Fruits,Guava,Cultural Practices,GUJARAT,SURENDRANAGAR,DHRANGADHRA,2018-01-06 17:38:00.913,17,1
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,LAKSAR,2018-07-24 12:37:48.023,12,7
AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,TELANGANA,NALGONDA,THIRUMALAGIRI,2018-12-04 16:49:02.440,16,12
AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",	Plant Protection	,GUJARAT,Mehsana,KADI,2018-12-12 14:43:30.733,14,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,SANCHORE,2018-04-11 16:52:07.757,16,4
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,MAHASAMUND,BAGBAHARA,2018-06-13 07:38:24.160,7,6
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,MUDHOLE,2018-09-23 16:27:37.987,16,9
HORTICULTURE,Vegetables,Tomato,	Plant Protection	,UTTARAKHAND,NAINITAL,RAMNAGAR,2018-04-19 11:28:08.630,11,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,SAPOTRA,2018-07-19 10:43:32.857,10,7
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,KOTABAG,2018-02-05 14:34:58.487,14,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,HINDAUN,2018-07-21 13:06:19.637,13,7
HORTICULTURE,Vegetables,Cucumber,Seeds and Planting Material,UTTAR PRADESH,BADAUN,ASAFPUR,2018-02-23 15:10:04.690,15,2
AGRICULTURE,Oilseeds,Mustard,Weed Management,GUJARAT,Mehsana,VIJAPUR,2018-12-09 15:13:59.050,15,12
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,BEJANKI,2018-07-01 20:43:57.720,20,7
HORTICULTURE,Vegetables,Potato,Weather,WEST BENGAL,Cooch BIHAR,MATHA BHANGA-II,2018-01-10 13:15:11.890,13,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-01-13 09:34:17.537,9,1
HORTICULTURE,Vegetables,Pointed Gourd,Cultural Practices,WEST BENGAL,MURSHIDABAD,RAGHUNATHGANJ-I,2018-01-20 08:41:31.883,8,1
AGRICULTURE,Millets,Maize (Makka),Weed Management,TELANGANA,KARIMNAGAR,HUSNABAD,2018-02-09 16:13:20.887,16,2
AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,TELANGANA,MAHABOOBNAGAR,VELDANDA,2018-07-31 10:52:04.990,10,7
AGRICULTURE,Pulses,Black Gram (urd bean),	Plant Protection	,RAJASTHAN,BUNDI,NAINWA,2018-08-11 14:41:41.700,14,8
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,DHARI,2018-05-22 09:53:44.580,9,5
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MORADABAD,BANIYAKHERA,2018-11-28 10:55:36.637,10,11
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,BAR,2018-04-15 06:33:21.650,6,4
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,UTTARAKHAND,NAINITAL,BHIMTAL,2018-03-19 16:11:04.887,16,3
HORTICULTURE,Condiments and Spices,Garlic,	Plant Protection	,RAJASTHAN,KOTA,ITAWA,2018-12-24 08:40:10.460,8,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,SARSAWAN,2018-08-08 21:13:08.260,21,8
HORTICULTURE,Fruits,Citrus,	Plant Protection	,RAJASTHAN,KOTA,LADPURA,2018-03-06 08:09:37.750,8,3
AGRICULTURE,Others,Others,Seeds,CHHATTISGARH,MAHASAMUND,BAGBAHARA,2018-03-19 08:51:09.193,8,3
AGRICULTURE,Others,Others,	Plant Protection	,CHHATTISGARH,SURGUJA,BALRAMPUR,2018-01-24 21:07:18.710,21,1
AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Weather,GUJARAT,BANAS KANTHA,DHANERA,2018-02-09 18:29:24.810,18,2
AGRICULTURE,Cereals,Wheat,Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-01-13 19:09:17.253,19,1
AGRICULTURE,Others,Others,	Field Preparation	,GUJARAT,JAMNAGAR,JODIYA,2018-05-30 17:48:13.600,17,5
AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",	Plant Protection	,GUJARAT,Mehsana,BECHRAJI,2018-12-13 17:28:50.527,17,12
HORTICULTURE,Vegetables,Cowpea (Vegetable),	Plant Protection	,WEST BENGAL,MALDAH,OLD MALDA,2018-12-01 11:50:08.260,11,12
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,RAMGARH,2018-02-12 07:35:10.010,7,2
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Market Information,TELANGANA,NALGONDA,PEDDAVURA,2018-12-25 18:25:13.430,18,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,2018-11-23 16:02:13.990,16,11
HORTICULTURE,Fruits,Papaya,Seeds and Planting Material,WEST BENGAL,MURSHIDABAD,RANINAGAR-II,2018-01-06 11:54:15.990,11,1
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-28 09:39:07.267,9,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,TONK,UNIARA,2018-02-03 06:52:03.087,6,2
AGRICULTURE,Others,Others,	Water Management	,RAJASTHAN,JALOR,SAYLA,2018-04-07 17:50:03.953,17,4
AGRICULTURE,Others,Others,Weather,GUJARAT,SABARKANTHA,VADALI,2018-09-15 10:16:57.603,10,9
AGRICULTURE,Oilseeds,"Castor (Rehri, Rendi, Arandi) ",	Water Management	,GUJARAT,Mehsana,SATLASNA,2018-08-11 17:06:07.330,17,8
AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,TELANGANA,NALGONDA,NAKREKAL,2018-02-06 16:33:44.150,16,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-10-01 11:29:41.683,11,10
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,CHHATTISGARH,BILASPUR,KOTA,2018-03-31 13:38:47.183,13,3
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,NADIA,RANAGHAT-II,2018-05-22 11:34:48.323,11,5
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,JAMMIKUNTA,2018-04-09 20:23:55.773,20,4
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,DHARI,2018-09-11 19:38:13.593,19,9
AGRICULTURE,Oilseeds,Soybean (bhat),Varieties,RAJASTHAN,KOTA,ITAWA,2018-06-11 08:31:31.633,8,6
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,HOOGHLY,GOGHAT-II,2018-10-07 09:40:11.453,9,10
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,VARANASI,SEVAPURI,2018-09-30 15:34:54.840,15,9
HORTICULTURE,Condiments and Spices,Garlic,	Plant Protection	,GUJARAT,BANAS KANTHA,KANKREJ,2018-02-03 10:53:32.030,10,2
AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,UTTAR PRADESH,BAGHPAT,PILANA,2018-07-07 15:40:46.513,15,7
HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,WEST BENGAL,HOOGHLY,ARAMBAGH,2018-04-24 17:20:59.367,17,4
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BIRBHUM,MAYURESWAR-II,2018-09-28 11:11:27.707,11,9
HORTICULTURE,Fruits,Pomegranate,Nutrient Management,RAJASTHAN,SAWAI MADHOPUR,KHANDAR,2018-05-28 17:46:29.363,17,5
AGRICULTURE,Others,Others,	Plant Protection	,GUJARAT,JAMNAGAR,KALAVAD,2018-05-14 13:44:35.920,13,5
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,LALITPUR,JAKHAURA,2018-04-12 16:32:06.383,16,4
HORTICULTURE,Vegetables,Cauliflower,Cultural Practices,UTTARAKHAND,NAINITAL,OKHALKANDA,2018-04-18 16:25:31.480,16,4
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,KANTH,2018-02-24 13:10:41.833,13,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,KALAN,2018-02-24 09:34:44.137,9,2
AGRICULTURE,Others,Others,Organic Farming,UTTAR PRADESH,MAHARAHGANJ,GHUGHLI,2018-05-13 13:30:26.940,13,5
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,RAIGARH,RAIGARH,2018-01-18 18:06:11.643,18,1
HORTICULTURE,Fruits,Lemon,Nutrient Management,RAJASTHAN,JALOR,SAYLA,2018-04-01 16:58:11.150,16,4
AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,TELANGANA,MAHABOOBNAGAR,WANAPARTHY,2018-12-24 10:30:38.643,10,12
HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,TELANGANA,NALGONDA,MATTAM PALLY,2018-12-14 12:34:59.170,12,12
HORTICULTURE,Vegetables,Bottle Gourd ,Cultural Practices,GUJARAT,JAMNAGAR,KALAVAD,2018-05-28 12:10:59.720,12,5
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,AHORE,2018-04-15 14:47:38.667,14,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,ITAWA,2018-06-06 13:50:00.677,13,6
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,ALMORA,TARIKHET,2018-12-26 17:43:12.363,17,12
HORTICULTURE,Fruits,Lemon,	Plant Protection	,UTTARAKHAND,NAINITAL,RAMNAGAR,2018-03-26 12:45:59.183,12,3
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,MURSHIDABAD,BURWAN,2018-07-05 10:02:53.463,10,7
AGRICULTURE,Oilseeds,Linseed (alsi),Nutrient Management,RAJASTHAN,SAWAI MADHOPUR,SAWAI MADHOPUR,2018-05-03 20:20:51.813,20,5
AGRICULTURE,Cereals,Paddy (Dhan),Weather,UTTAR PRADESH,SIDDHARTH NAGAR,SHOHARATGARH,2018-06-30 19:33:46.403,19,6
HORTICULTURE,Vegetables,Ribbed Gourd (Kali Tori),	Plant Protection	,UTTAR PRADESH,VARANASI,CHIRAIGAON,2018-09-08 14:16:27.910,14,9
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,TELANGANA,NALGONDA,CHINTHA PALLY,2018-12-18 18:30:04.833,18,12
AGRICULTURE,Oilseeds,Mustard,Market Information,RAJASTHAN,TONK,NEWAI,2018-02-25 17:46:29.490,17,2
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,CHIGURUMAMIDI,2018-07-04 16:50:09.473,16,7
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SULTANPUR,2018-01-23 10:10:37.367,10,1
